Rentrée scolaire;Académie;Code du département;Département;UAI;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;IPS;Ecart-type de l'IPS
2016-2017;NANCY-METZ;088;VOSGES;0881119N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOIS GEORGIN;88160;EPINAL;public;64.5;
2016-2017;CRETEIL;094;VAL-DE-MARNE;0940319L;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE NOGENT SUR MARNE;94052;NOGENT SUR MARNE;public;79.7;
2016-2017;VERSAILLES;095;VAL-D'OISE;0950983C;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LA TOUR DU MAIL;95582;SANNOIS;public;88.3;
2016-2017;CLERMONT-FERRAND;015;CANTAL;0150613K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALBERT MONIER;15014;AURILLAC;public;72.5;
2016-2017;POITIERS;017;CHARENTE-MARITIME;0170392J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE THEODORE MONOD;17415;SAINTES;public;66.0;
2016-2017;BORDEAUX;024;DORDOGNE;0240112S;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JOEL JEANNOT;24557;TRELISSAC;public;71.2;
2016-2017;GRENOBLE;026;DROME;0261034H;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;26198;MONTELIMAR;public;78.8;
2016-2017;TOULOUSE;031;HAUTE-GARONNE;0311240E;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;31395;MURET;public;74.8;
2016-2017;BORDEAUX;033;GIRONDE;0332198K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LE CORBUSIER;33318;PESSAC;public;76.4;
2016-2017;CLERMONT-FERRAND;043;HAUTE-LOIRE;0430109K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALEXANDRE VIALATTE;43040;BRIOUDE;public;66.9;
2016-2017;NANTES;049;MAINE-ET-LOIRE;0490925P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;49267;SAINT BARTHELEMY D ANJOU;public;66.4;
2016-2017;NANCY-METZ;054;MEURTHE-ET-MOSELLE;0541268K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;54196;FLAVIGNY SUR MOSELLE;public;91.7;
2016-2017;CAEN;061;ORNE;0610996B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PIERRE MENDES FRANCE;61168;LA FERTE MACE;public;65.0;
2016-2017;STRASBOURG;067;BAS-RHIN;0671455T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE HENRI EBEL;67218;ILLKIRCH GRAFFENSTADEN;public;70.7;
2016-2017;LYON;069;RHONE;0692390Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CITE SCOLAIRE RENE PELLET LYCEE DES METIERS DU TERTIAIRE ET DE L ARTISANAT D ART;69266;VILLEURBANNE;public;83.3;
2016-2017;PARIS;075;PARIS;0750828T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE EDITH PIAF;75120;PARIS 20E ARRONDISSEMENT;public;73.2;
2016-2017;AIX-MARSEILLE;084;VAUCLUSE;0840096Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PAUL VINCENSINI;84141;VEDENE;public;68.9;
2016-2017;DIJON;089;YONNE;0891016W;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JULES VERNE;89206;JOIGNY;public;70.7;
2016-2017;TOULOUSE;009;ARIEGE;0090481Z;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE GUY VILLEROUX;09225;PAMIERS;public;67.3;
2016-2017;CAEN;014;CALVADOS;0141420T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE YVONNE GUEGAN;14327;HEROUVILLE SAINT CLAIR;public;67.4;
2016-2017;LIMOGES;019;CORREZE;0190089U;LYCEE D ENSEIGNEMENT ADAPTE ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DES MILLES SOURCES;19136;MEYMAC;public;66.2;
2016-2017;BESANCON;025;DOUBS;0251371E;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALAIN FOURNIER;25056;BESANCON;public;68.8;
2016-2017;ORLEANS-TOURS;036;INDRE;0360050J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;36044;CHATEAUROUX;public;68.2;
2016-2017;ORLEANS-TOURS;045;LOIRET;0451104F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;45004;AMILLY;public;70.4;
2016-2017;CAEN;050;MANCHE;0501232T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;50502;SAINT LO;public;66.1;
2016-2017;NANCY-METZ;057;MOSELLE;0570582Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;57708;VERNY;public;64.4;
2016-2017;AMIENS;060;OISE;0600070A;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;60178;CREVECOEUR LE GRAND;public;70.1;
2016-2017;LILLE;062;PAS-DE-CALAIS;0622099V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE COTE D OPALE;62193;CALAIS;public;60.2;
2016-2017;DIJON;071;SAONE-ET-LOIRE;0711050F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CLAUDE BROSSE;71105;CHARNAY LES MACON;public;69.9;
2016-2017;GRENOBLE;073;SAVOIE;0731045P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LE MIRANTIN;73011;ALBERTVILLE;public;77.0;
2016-2017;PARIS;075;PARIS;0753256G;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALEXANDRE DUMAS;75115;PARIS 15E ARRONDISSEMENT;public;80.6;
2016-2017;NANTES;085;VENDEE;0850047P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;85060;CHATEAU D OLONNE;public;69.6;
2016-2017;VERSAILLES;091;ESSONNE;0910429X;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LE CHATEAU DU LAC;91461;OLLAINVILLE;public;80.3;
2016-2017;VERSAILLES;091;ESSONNE;0911353B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN ISOARD;91421;MONTGERON;public;91.4;
2016-2017;CRETEIL;094;VAL-DE-MARNE;0940171A;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE STENDHAL;94011;BONNEUIL SUR MARNE;public;76.0;
2016-2017;VERSAILLES;095;VAL-D'OISE;0950164M;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOISE DOLTO;95052;BEAUMONT SUR OISE;public;79.8;
2016-2017;LYON;001;AIN;0010966V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PHILIBERT COMMERSON;01053;BOURG EN BRESSE;public;70.1;
2016-2017;AIX-MARSEILLE;013;BOUCHES-DU-RHONE;0132343B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LOUIS ARAGON;13071;LES PENNES MIRABEAU;public;70.4;
2016-2017;RENNES;022;COTES D'ARMOR;0221569L;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE BEAUREGARD;22339;TADEN;public;70.4;
2016-2017;RENNES;035;ILLE-ET-VILAINE;0350747X;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;35238;RENNES;public;70.1;
2016-2017;REIMS;052;HAUTE-MARNE;0520709N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PRE AUX SAULES;52550;WASSY;public;61.3;
2016-2017;LILLE;059;NORD;0594541R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DEFICIENTS VISUELS IGNACE PLEYEL;59360;LOOS;public;73.8;
2016-2017;CRETEIL;077;SEINE-ET-MARNE;0770342D;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE CHAMIGNY GARCON;77078;CHAMIGNY;public;76.9;
2016-2017;CORSE;02A;CORSE-DU-SUD;6200636X;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE SANGUINAIRES;2A004;AJACCIO;public;74.6;
