Rentrée scolaire;Académie;Code du département;Département;UAI;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;IPS;Ecart-type de l'IPS
2021-2022;DIJON;071;SAONE-ET-LOIRE;0711050F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CLAUDE BROSSE;71105;CHARNAY LES MACON;public;70.1;24.1
2021-2022;PARIS;075;PARIS;0750828T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE EDITH PIAF;75120;PARIS 20E ARRONDISSEMENT;public;74.4;24.0
2021-2022;PARIS;075;PARIS;0753256G;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALEXANDRE DUMAS;75115;PARIS 15E ARRONDISSEMENT;public;74.2;23.7
2021-2022;NORMANDIE;076;SEINE MARITIME;0762081Z;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MAURICE GENEVOIX;76351;LE HAVRE;public;68.8;22.8
2021-2022;VERSAILLES;092;HAUTS-DE-SEINE;0920429S;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MARTIN LUTHER KING;92004;ASNIERES SUR SEINE;public;78.3;24.4
2021-2022;MAYOTTE;976;MAYOTTE;9760357J;EREA L ESPERANCE;97611;MAMOUDZOU;privé sous contrat;57.4;17.0
2021-2022;TOULOUSE;012;AVEYRON;0121178R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE VILLEFRANCHE DE ROUERGUE;12300;VILLEFRANCHE DE ROUERGUE;public;75.1;23.9
2021-2022;ORLEANS-TOURS;028;EURE-ET-LOIR;0280659P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;28229;MAINVILLIERS;public;71.5;26.3
2021-2022;TOULOUSE;031;HAUTE-GARONNE;0311240E;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE MURET;31395;MURET;public;75.3;23.7
2021-2022;GRENOBLE;038;ISERE;0382107J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE-LEA PIERRE RABHI;38111;CLAIX;public;84.0;30.3
2021-2022;BESANCON;039;JURA;0390055Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LA MORAINE;39183;CROTENAY;public;71.8;23.0
2021-2022;NANTES;049;MAINE-ET-LOIRE;0490925P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;49267;SAINT BARTHELEMY D ANJOU;public;75.3;25.2
2021-2022;NANCY-METZ;054;MEURTHE-ET-MOSELLE;0541268K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOIS RICHARD JOUBERT;54196;FLAVIGNY SUR MOSELLE;public;79.3;26.4
2021-2022;NORMANDIE;061;ORNE;0610996B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PIERRE MENDES FRANCE;61168;LA FERTE MACE;public;71.1;23.7
2021-2022;LILLE;062;PAS-DE-CALAIS;0622302R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MICHEL COLUCCI;62510;LIEVIN;public;63.5;21.4
2021-2022;PARIS;075;PARIS;0752799K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CROCE SPINELLI;75114;PARIS 14E ARRONDISSEMENT;public;77.6;26.8
2021-2022;VERSAILLES;091;ESSONNE;0911353B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN ISOARD;91421;MONTGERON;public;89.7;30.8
2020-2021;AMIENS;002;AISNE;0021478W;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;02691;SAINT QUENTIN;public;60.6;14.9
2020-2021;AIX-MARSEILLE;004;ALPES-DE-HTE-PROVENCE;0040378P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE HAUTE PROVENCE;04027;BEVONS;public;74.0;19.3
2020-2021;CAEN;014;CALVADOS;0141420T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE YVONNE GUEGAN;14327;HEROUVILLE SAINT CLAIR;public;68.3;17.7
2020-2021;BORDEAUX;040;LANDES;0400094K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE NICOLAS BREMONTIER;40281;SAINT PIERRE DU MONT;public;77.7;26.6
2020-2021;NANTES;049;MAINE-ET-LOIRE;0490925P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;49267;SAINT BARTHELEMY D ANJOU;public;75.4;22.7
2020-2021;LILLE;059;NORD;0595483P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DEFICIENTS INTELLECTUELS MOYENS HANDICAPES SOCIAUX NELSON MANDELA;59350;LILLE;public;62.5;17.2
2020-2021;MONTPELLIER;066;PYRENEES-ORIENTALES;0660078B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JOAN MIRO;66136;PERPIGNAN;public;60.7;19.0
2020-2021;LYON;069;RHONE;0692390Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CITE SCOLAIRE RENE PELLET LYCEE DES METIERS DU TERTIAIRE ET DE L ARTISANAT D ART;69266;VILLEURBANNE;public;81.9;33.4
2020-2021;DIJON;071;SAONE-ET-LOIRE;0711050F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CLAUDE BROSSE;71105;CHARNAY LES MACON;public;70.3;24.5
2020-2021;NANTES;085;VENDEE;0850047P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN D ORBESTIER;85194;LES SABLES D OLONNE;public;71.8;31.1
2020-2021;VERSAILLES;091;ESSONNE;0910429X;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LE CHATEAU DU LAC;91461;OLLAINVILLE;public;75.2;22.8
2020-2021;VERSAILLES;091;ESSONNE;0911353B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN ISOARD;91421;MONTGERON;public;90.0;32.3
2020-2021;VERSAILLES;092;HAUTS-DE-SEINE;0920810F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN MONNET;92033;GARCHES;public;100.9;40.3
2020-2021;VERSAILLES;095;VAL-D'OISE;0950164M;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOISE DOLTO;95052;BEAUMONT SUR OISE;public;82.8;24.3
