Rentrée scolaire;Code région;Région;Code académie;Académie;Code du département;Département;Code INSEE de la commune;Nom de la commune;UAI;Nom de l'établissement;Secteur;IPS;Ecart type de l'IPS;IPS national privé;IPS national public;IPS national;IPS académique privé;IPS académique public;IPS académique;IPS départemental privé;IPS départemental public;IPS départemental;num_ligne
2022-2023;14;NORMANDIE;70;NORMANDIE;14;CALVADOS;14327;HEROUVILLE SAINT CLAIR;0141420T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE YVONNE GUEGAN;public;73.3;19.5;NA;81.8;81.8;NA;74;74;NA;73.3;73.3;7.0
2022-2023;04;CENTRE-VAL DE LOIRE;18;ORLEANS-TOURS;28;EURE-ET-LOIR;28229;MAINVILLIERS;0280659P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;public;79;20.6;NA;81.8;81.8;NA;77.5;77.5;NA;79;79;16.0
2022-2023;15;NOUVELLE-AQUITAINE;04;BORDEAUX;33;GIRONDE;33318;PESSAC;0332198K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LE CORBUSIER;public;87.1;26.6;NA;81.8;81.8;NA;82.7;82.7;NA;90.7;90.7;20.0
2022-2023;06;GRAND EST;19;REIMS;52;HAUTE-MARNE;52550;WASSY;0520709N;LYCEE D ENSEIGNEMENT ADAPTE;public;70.4;18.1;NA;81.8;81.8;NA;72.1;72.1;NA;70.4;70.4;36.0
2022-2023;01;AUVERGNE-RHONE-ALPES;08;GRENOBLE;73;SAVOIE;73011;ALBERTVILLE;0731045P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LE MIRANTIN;public;79.8;19;NA;81.8;81.8;NA;82.3;82.3;NA;80.5;80.5;55.0
2022-2023;10;ILE-DE-FRANCE;24;CRETEIL;77;SEINE-ET-MARNE;77078;CHAMIGNY;0770342D;LYCEE D ENSEIGNEMENT ADAPTE DE CHAMIGNY GARCON;public;87.8;23.5;NA;81.8;81.8;NA;90.1;90.1;NA;87.8;87.8;61.0
2022-2023;15;NOUVELLE-AQUITAINE;13;POITIERS;86;VIENNE;86157;MIGNALOUX BEAUVOIR;0860793V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ANNE FRANK;public;78.8;24.1;NA;81.8;81.8;NA;77.5;77.5;NA;78.8;78.8;64.0
2022-2023;10;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92004;ASNIERES SUR SEINE;0920429S;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MARTIN LUTHER KING;public;85.8;26.8;NA;81.8;81.8;NA;103.7;103.7;NA;113.1;113.1;69.0
2022-2023;10;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92033;GARCHES;0920810F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN MONNET;public;106.8;35.2;NA;81.8;81.8;NA;103.7;103.7;NA;113.1;113.1;70.0
2022-2023;10;ILE-DE-FRANCE;25;VERSAILLES;95;VAL-D'OISE;95052;BEAUMONT SUR OISE;0950164M;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOISE DOLTO;public;89.5;25.6;NA;81.8;81.8;NA;103.7;103.7;NA;90.1;90.1;75.0
2023-2024;18;PROVENCE-ALPES-COTE D'AZUR;02;AIX-MARSEILLE;13;BOUCHES-DU-RHONE;13071;LES PENNES MIRABEAU;0132343B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LOUIS ARAGON;public;76.4;23.2;66.4;81.8;81.8;NA;79.7;79.7;NA;76.4;76.4;84.0
2023-2024;15;NOUVELLE-AQUITAINE;13;POITIERS;17;CHARENTE-MARITIME;17415;SAINTES;0170392J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE THEODORE MONOD;public;76;21.2;66.4;81.8;81.8;NA;76.5;76.5;NA;76;76;88.0
2023-2024;01;AUVERGNE-RHONE-ALPES;06;CLERMONT-FERRAND;43;HAUTE-LOIRE;43040;BRIOUDE;0430109K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALEXANDRE VIALATTE;public;72.7;18.5;66.4;81.8;81.8;NA;77;77;NA;72.7;72.7;107.0
2023-2024;17;PAYS DE LA LOIRE;17;NANTES;44;LOIRE-ATLANTIQUE;44109;NANTES;0440329U;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LA RIVIERE;public;83.5;26.6;66.4;81.8;81.8;NA;78;78;NA;83.5;83.5;108.0
2023-2024;04;CENTRE-VAL DE LOIRE;18;ORLEANS-TOURS;45;LOIRET;45004;AMILLY;0451104F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE SIMONE VEIL;public;77.1;21.8;66.4;81.8;81.8;NA;75.7;75.7;NA;77.1;77.1;109.0
2023-2024;03;BRETAGNE;14;RENNES;56;MORBIHAN;56162;PLOEMEUR;0560217G;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LES PINS;public;89.5;19.6;66.4;81.8;81.8;NA;77.8;77.8;NA;89.5;89.5;117.0
2023-2024;14;NORMANDIE;70;NORMANDIE;61;ORNE;61168;LA FERTE MACE;0610996B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PIERRE MENDES FRANCE;public;80.2;25.2;66.4;81.8;81.8;NA;73.7;73.7;NA;80.2;80.2;122.0
