Rentrée scolaire;Code région;Région;Code académie;Académie;Code du département;Département;Code INSEE de la commune;Nom de la commune;UAI;Nom de l'établissement;Secteur;IPS;Ecart type de l'IPS;IPS national privé;IPS national public;IPS national;IPS académique privé;IPS académique public;IPS académique;IPS départemental privé;IPS départemental public;IPS départemental;num_ligne
2022-2023;01;AUVERGNE-RHONE-ALPES;10;LYON;01;AIN;01053;BOURG EN BRESSE;0010966V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PHILIBERT COMMERSON;public;80.6;23.3;NA;81.8;81.8;NA;81.9;81.9;NA;80.6;80.6;1.0
2022-2023;16;OCCITANIE;16;TOULOUSE;12;AVEYRON;12300;VILLEFRANCHE DE ROUERGUE;0121178R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE VILLEFRANCHE DE ROUERGUE;public;82.9;23.9;NA;81.8;81.8;NA;80.7;80.7;NA;82.9;82.9;5.0
2022-2023;18;PROVENCE-ALPES-COTE D'AZUR;02;AIX-MARSEILLE;13;BOUCHES-DU-RHONE;13071;LES PENNES MIRABEAU;0132343B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LOUIS ARAGON;public;81.1;25.4;NA;81.8;81.8;NA;81.4;81.4;NA;81.1;81.1;6.0
2022-2023;15;NOUVELLE-AQUITAINE;13;POITIERS;16;CHARENTE;16271;PUYMOYEN;0160968R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;public;76.6;17.7;NA;81.8;81.8;NA;77.5;77.5;NA;76.6;76.6;9.0
2022-2023;15;NOUVELLE-AQUITAINE;13;POITIERS;17;CHARENTE-MARITIME;17415;SAINTES;0170392J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE THEODORE MONOD;public;77.7;19.4;NA;81.8;81.8;NA;77.5;77.5;NA;77.7;77.7;10.0
2022-2023;03;BRETAGNE;14;RENNES;35;ILLE-ET-VILAINE;35236;REDON;0350732F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN BART;public;79.8;25.9;NA;81.8;81.8;NA;79.9;79.9;NA;76.6;76.6;22.0
2022-2023;03;BRETAGNE;14;RENNES;35;ILLE-ET-VILAINE;35238;RENNES;0350747X;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MAGDA HOLLANDER LAFON;public;73.3;19.9;NA;81.8;81.8;NA;79.9;79.9;NA;76.6;76.6;23.0
2022-2023;04;CENTRE-VAL DE LOIRE;18;ORLEANS-TOURS;36;INDRE;36044;CHATEAUROUX;0360050J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ERIC TABARLY;public;74.2;21.7;NA;81.8;81.8;NA;77.5;77.5;NA;74.2;74.2;24.0
2022-2023;01;AUVERGNE-RHONE-ALPES;08;GRENOBLE;38;ISERE;38111;CLAIX;0382107J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PIERRE RABHI;public;86.2;25.3;NA;81.8;81.8;NA;82.3;82.3;NA;86.2;86.2;25.0
2022-2023;02;BOURGOGNE-FRANCHE-COMTE;03;BESANCON;39;JURA;39183;CROTENAY;0390055Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LA MORAINE;public;77.9;21.1;NA;81.8;81.8;NA;77.9;77.9;NA;77.9;77.9;26.0
2022-2023;01;AUVERGNE-RHONE-ALPES;10;LYON;42;LOIRE;42302;SORBIERS;0421608V;LYCEE D ENSEIGNEMENT ADAPTE NELSON MANDELA;public;76.5;25.9;NA;81.8;81.8;NA;81.9;81.9;NA;76.5;76.5;28.0
2022-2023;06;GRAND EST;19;REIMS;51;MARNE;51108;CHALONS EN CHAMPAGNE;0511106A;LYCEE D ENSEIGNEMENT ADAPTE;public;74.2;18.8;NA;81.8;81.8;NA;72.1;72.1;NA;74.2;74.2;35.0
2022-2023;06;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54196;FLAVIGNY SUR MOSELLE;0541268K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOIS RICHARD JOUBERT;public;90.7;27.7;NA;81.8;81.8;NA;80;80;NA;83.2;83.2;37.0
2022-2023;03;BRETAGNE;14;RENNES;56;MORBIHAN;56162;PLOEMEUR;0560217G;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LES PINS;public;83.6;20.7;NA;81.8;81.8;NA;79.9;79.9;NA;83.6;83.6;39.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59360;LOOS;0594541R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DEFICIENTS VISUELS IGNACE PLEYEL;public;86.5;32.1;NA;81.8;81.8;NA;77.2;77.2;NA;76.9;76.9;41.0
2022-2023;14;NORMANDIE;70;NORMANDIE;61;ORNE;61168;LA FERTE MACE;0610996B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PIERRE MENDES FRANCE;public;73.7;21.3;NA;81.8;81.8;NA;74;74;NA;73.7;73.7;44.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62193;CALAIS;0622099V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE COTE D OPALE;public;70.1;19.5;NA;81.8;81.8;NA;77.2;77.2;NA;77.5;77.5;46.0
2022-2023;16;OCCITANIE;11;MONTPELLIER;66;PYRENEES-ORIENTALES;66136;PERPIGNAN;0660078B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JOAN MIRO;public;71.9;18.8;NA;81.8;81.8;NA;76.6;76.6;NA;71.9;71.9;49.0
2022-2023;06;GRAND EST;15;STRASBOURG;67;BAS-RHIN;67218;ILLKIRCH GRAFFENSTADEN;0671455T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE HENRI EBEL;public;77.3;24.2;NA;81.8;81.8;NA;77.3;77.3;NA;77.3;77.3;50.0
2022-2023;01;AUVERGNE-RHONE-ALPES;10;LYON;69;RHONE;69266;VILLEURBANNE;0692390Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CITE SCOLAIRE RENE PELLET LYCEE DES METIERS DU TERTIAIRE ET DE L ARTISANAT D ART;public;84;30.9;NA;81.8;81.8;NA;81.9;81.9;NA;84;84;51.0
2022-2023;17;PAYS DE LA LOIRE;17;NANTES;72;SARTHE;72058;CHANGE;0720920J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE RAPHAEL ELIZE;public;71.2;21.6;NA;81.8;81.8;NA;79;79;NA;71.2;71.2;53.0
2022-2023;10;ILE-DE-FRANCE;01;PARIS;75;PARIS;75115;PARIS 15E ARRONDISSEMENT;0753256G;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALEXANDRE DUMAS;public;83.3;27;NA;81.8;81.8;NA;82;82;NA;82;82;58.0
2022-2023;15;NOUVELLE-AQUITAINE;13;POITIERS;79;DEUX-SEVRES;79239;SAINT AUBIN LE CLOUD;0790979K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOISE DOLTO;public;76.9;20.2;NA;81.8;81.8;NA;77.5;77.5;NA;76.9;76.9;62.0
2022-2023;18;PROVENCE-ALPES-COTE D'AZUR;02;AIX-MARSEILLE;84;VAUCLUSE;84141;VEDENE;0840096Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PAUL VINCENSINI;public;76.9;20.9;NA;81.8;81.8;NA;81.4;81.4;NA;76.9;76.9;63.0
2022-2023;02;BOURGOGNE-FRANCHE-COMTE;07;DIJON;89;YONNE;89206;JOIGNY;0891016W;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JULES VERNE;public;76.5;20;NA;81.8;81.8;NA;74.4;74.4;NA;76.5;76.5;66.0
2023-2024;09;HAUTS-DE-FRANCE;20;AMIENS;02;AISNE;02691;SAINT QUENTIN;0021478W;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;public;74.5;27.5;66.4;81.8;81.8;NA;75;75;NA;74.5;74.5;80.0
2023-2024;18;PROVENCE-ALPES-COTE D'AZUR;02;AIX-MARSEILLE;04;ALPES-DE-HAUTE-PROVENCE;04027;BEVONS;0040378P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE HAUTE PROVENCE;public;88.6;23.8;66.4;81.8;81.8;NA;79.7;79.7;NA;88.6;88.6;81.0
2023-2024;01;AUVERGNE-RHONE-ALPES;06;CLERMONT-FERRAND;15;CANTAL;15014;AURILLAC;0150613K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ALBERT MONIER;public;76.5;25.3;66.4;81.8;81.8;NA;77;77;NA;76.5;76.5;86.0
2023-2024;04;CENTRE-VAL DE LOIRE;18;ORLEANS-TOURS;28;EURE-ET-LOIR;28229;MAINVILLIERS;0280659P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;public;79.3;23.4;66.4;81.8;81.8;NA;75.7;75.7;NA;79.3;79.3;94.0
2023-2024;03;BRETAGNE;14;RENNES;35;ILLE-ET-VILAINE;35236;REDON;0350732F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JEAN BART;public;78.3;20;66.4;81.8;81.8;NA;77.8;77.8;NA;73.4;73.4;100.0
2023-2024;04;CENTRE-VAL DE LOIRE;18;ORLEANS-TOURS;36;INDRE;36044;CHATEAUROUX;0360050J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ERIC TABARLY;public;71.9;19.2;66.4;81.8;81.8;NA;75.7;75.7;NA;71.9;71.9;102.0
2023-2024;15;NOUVELLE-AQUITAINE;04;BORDEAUX;40;LANDES;40281;SAINT PIERRE DU MONT;0400094K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE NICOLAS BREMONTIER;public;77.4;22.3;66.4;81.8;81.8;NA;81.8;81.8;NA;77.4;77.4;105.0
2023-2024;09;HAUTS-DE-FRANCE;20;AMIENS;60;OISE;60178;CREVECOEUR LE GRAND;0600070A;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JOSEPHINE BAKER A CREVECOEUR LE GRAND;public;75.5;22.1;66.4;81.8;81.8;NA;75;75;NA;75.5;75.5;121.0
2023-2024;15;NOUVELLE-AQUITAINE;13;POITIERS;86;VIENNE;86157;MIGNALOUX BEAUVOIR;0860793V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ANNE FRANK;public;80.2;24.2;66.4;81.8;81.8;NA;76.5;76.5;NA;80.2;80.2;142.0
2023-2024;02;BOURGOGNE-FRANCHE-COMTE;07;DIJON;89;YONNE;89206;JOIGNY;0891016W;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JULES VERNE;public;75;18.4;66.4;81.8;81.8;NA;76.8;76.8;NA;75;75;144.0
2023-2024;10;ILE-DE-FRANCE;25;VERSAILLES;91;ESSONNE;91461;OLLAINVILLE;0910429X;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LE CHATEAU DU LAC;public;84;23.6;66.4;81.8;81.8;NA;105;105;NA;89.9;89.9;145.0
2023-2024;10;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92076;VAUCRESSON;0921935D;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE TOULOUSE LAUTREC;public;124.3;35.1;66.4;81.8;81.8;NA;105;105;NA;115.2;115.2;149.0
2023-2024;10;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92033;GARCHES;0922287L;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JACQUES BREL;public;NA;NA;66.4;81.8;81.8;NA;105;105;NA;115.2;115.2;150.0
2024-2025;09;HAUTS-DE-FRANCE;20;AMIENS;02;AISNE;02691;SAINT QUENTIN;0021478W;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;public;73.5;25.9;63.3;82.3;82.2;NA;73.6;73.6;NA;73.5;73.5;158.0
2024-2025;15;NOUVELLE-AQUITAINE;13;POITIERS;17;CHARENTE-MARITIME;17415;SAINTES;0170392J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE THEODORE MONOD;public;77.9;21.6;63.3;82.3;82.2;NA;76.3;76.3;NA;77.9;77.9;166.0
2024-2025;02;BOURGOGNE-FRANCHE-COMTE;03;BESANCON;25;DOUBS;25056;BESANCON;0251371E;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE SIMONE VEIL;public;80.6;24.5;63.3;82.3;82.2;NA;79.4;79.4;NA;80.6;80.6;170.0
2024-2025;03;BRETAGNE;14;RENNES;29;FINISTERE;29232;QUIMPER;0290347V;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LOUISE MICHEL;public;75.8;20.8;63.3;82.3;82.2;NA;75.3;75.3;NA;75.8;75.8;173.0
2024-2025;01;AUVERGNE-RHONE-ALPES;10;LYON;42;LOIRE;42302;SORBIERS;0421608V;LYCEE D ENSEIGNEMENT ADAPTE NELSON MANDELA;public;85.1;26;63.3;82.3;82.2;NA;83.8;83.8;NA;85.1;85.1;184.0
2024-2025;17;PAYS DE LA LOIRE;17;NANTES;44;LOIRE-ATLANTIQUE;44109;NANTES;0440329U;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LA RIVIERE;public;84.5;28;63.3;82.3;82.2;NA;78.2;78.2;NA;84.5;84.5;186.0
2024-2025;04;CENTRE-VAL DE LOIRE;18;ORLEANS-TOURS;45;LOIRET;45004;AMILLY;0451104F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE SIMONE VEIL;public;77.8;24.4;63.3;82.3;82.2;NA;75.7;75.7;NA;77.8;77.8;187.0
2024-2025;17;PAYS DE LA LOIRE;17;NANTES;49;MAINE-ET-LOIRE;49267;SAINT BARTHELEMY D ANJOU;0490925P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;public;72.2;20.8;63.3;82.3;82.2;NA;78.2;78.2;NA;72.2;72.2;189.0
2024-2025;06;GRAND EST;19;REIMS;51;MARNE;51108;CHALONS EN CHAMPAGNE;0511106A;LYCEE D ENSEIGNEMENT ADAPTE ROBERT TRITANT A CHALONS EN CHAMPAGNE;public;81.2;22.7;63.3;82.3;82.2;NA;76.7;76.7;NA;81.2;81.2;191.0
2024-2025;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59367;LYS LEZ LANNOY;0594380R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DEFICIENTS INTELLECTUELS LEGERS HANDICAPES SOCIAUX COLETTE MAGNY;public;69.3;17.4;63.3;82.3;82.2;NA;77.7;77.7;NA;77.7;77.7;196.0
2024-2025;01;AUVERGNE-RHONE-ALPES;08;GRENOBLE;73;SAVOIE;73011;ALBERTVILLE;0731045P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LE MIRANTIN;public;78.4;17.2;63.3;82.3;82.2;NA;82.2;82.2;NA;80.7;80.7;211.0
2024-2025;10;ILE-DE-FRANCE;01;PARIS;75;PARIS;75120;PARIS 20E ARRONDISSEMENT;0750828T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE EDITH PIAF;public;88.5;27;63.3;82.3;82.2;NA;85.3;85.3;NA;85.3;85.3;212.0
2024-2025;14;NORMANDIE;70;NORMANDIE;76;SEINE-MARITIME;76351;LE HAVRE;0762081Z;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MAURICE GENEVOIX;public;71.6;19.7;63.3;82.3;82.2;NA;74.1;74.1;NA;73.7;73.7;215.0
2024-2025;15;NOUVELLE-AQUITAINE;13;POITIERS;79;DEUX-SEVRES;79239;SAINT AUBIN LE CLOUD;0790979K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOISE DOLTO;public;72.6;15.8;63.3;82.3;82.2;NA;76.3;76.3;NA;72.6;72.6;218.0
2024-2025;10;ILE-DE-FRANCE;25;VERSAILLES;91;ESSONNE;91461;OLLAINVILLE;0910429X;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LE CHATEAU DU LAC;public;82.2;25;63.3;82.3;82.2;NA;104;104;NA;89.1;89.1;223.0
2024-2025;10;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92076;VAUCRESSON;0921935D;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE TOULOUSE LAUTREC;public;125.9;36.3;63.3;82.3;82.2;NA;104;104;NA;115.8;115.8;227.0
2024-2025;10;ILE-DE-FRANCE;24;CRETEIL;94;VAL-DE-MARNE;94011;BONNEUIL SUR MARNE;0940171A;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE STENDHAL;public;84.2;23.4;63.3;82.3;82.2;NA;86.9;86.9;NA;86.9;86.9;228.0
2024-2025;10;ILE-DE-FRANCE;24;CRETEIL;94;VAL-DE-MARNE;94052;NOGENT SUR MARNE;0940319L;LYCEE D ENSEIGNEMENT ADAPTE FRANCOIS CAVANNA;public;89;32.4;63.3;82.3;82.2;NA;86.9;86.9;NA;86.9;86.9;229.0
2024-2025;10;ILE-DE-FRANCE;25;VERSAILLES;95;VAL-D'OISE;95052;BEAUMONT SUR OISE;0950164M;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOISE DOLTO;public;91.7;29.7;63.3;82.3;82.2;NA;104;104;NA;89.5;89.5;230.0
2024-2025;13;MAYOTTE;43;MAYOTTE;976;MAYOTTE;97611;MAMOUDZOU;9760357J;LYCEE D ENSEIGNEMENT ADAPTE L ESPERANCE;privé sous contrat;63.3;17;63.3;82.3;82.2;63.3;NA;63.3;63.3;NA;63.3;233.0
2024-2025;10;ILE-DE-FRANCE;25;VERSAILLES;95;VAL-D'OISE;95582;SANNOIS;0950983C;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LA TOUR DU MAIL;public;88.2;28.7;63.3;82.3;82.2;NA;104;104;NA;89.5;89.5;231.0
2022-2023;09;HAUTS-DE-FRANCE;20;AMIENS;02;AISNE;02691;SAINT QUENTIN;0021478W;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;public;73.4;23.8;NA;81.8;81.8;NA;73.1;73.1;NA;73.4;73.4;2.0
2022-2023;18;PROVENCE-ALPES-COTE D'AZUR;02;AIX-MARSEILLE;04;ALPES-DE-HAUTE-PROVENCE;04027;BEVONS;0040378P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE HAUTE PROVENCE;public;85.2;21.8;NA;81.8;81.8;NA;81.4;81.4;NA;85.2;85.2;3.0
2022-2023;16;OCCITANIE;16;TOULOUSE;31;HAUTE-GARONNE;31395;MURET;0311240E;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE MURET;public;80.8;23.9;NA;81.8;81.8;NA;80.7;80.7;NA;80.8;80.8;18.0
2022-2023;15;NOUVELLE-AQUITAINE;04;BORDEAUX;40;LANDES;40281;SAINT PIERRE DU MONT;0400094K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE NICOLAS BREMONTIER;public;76.8;20.7;NA;81.8;81.8;NA;82.7;82.7;NA;76.8;76.8;27.0
2022-2023;17;PAYS DE LA LOIRE;17;NANTES;44;LOIRE-ATLANTIQUE;44109;NANTES;0440329U;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LA RIVIERE;public;86.3;26.5;NA;81.8;81.8;NA;79;79;NA;86.3;86.3;30.0
2022-2023;17;PAYS DE LA LOIRE;17;NANTES;49;MAINE-ET-LOIRE;49267;SAINT BARTHELEMY D ANJOU;0490925P;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;public;79.3;25.9;NA;81.8;81.8;NA;79;79;NA;79.3;79.3;33.0
2022-2023;06;GRAND EST;12;NANCY-METZ;54;MEURTHE-ET-MOSELLE;54099;VAL DE BRIEY;0541338L;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE HUBERT MARTIN;public;74.6;21.2;NA;81.8;81.8;NA;80;80;NA;83.2;83.2;38.0
2022-2023;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62108;BERCK;0620229M;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ANTOINE DE SAINT EXUPERY;public;89.4;29.1;NA;81.8;81.8;NA;77.2;77.2;NA;77.5;77.5;45.0
2022-2023;10;ILE-DE-FRANCE;01;PARIS;75;PARIS;75120;PARIS 20E ARRONDISSEMENT;0750828T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE EDITH PIAF;public;83.4;26.1;NA;81.8;81.8;NA;82;82;NA;82;82;56.0
2022-2023;10;ILE-DE-FRANCE;01;PARIS;75;PARIS;75114;PARIS 14E ARRONDISSEMENT;0752799K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CROCE SPINELLI;public;80;23.7;NA;81.8;81.8;NA;82;82;NA;82;82;57.0
2022-2023;06;GRAND EST;12;NANCY-METZ;88;VOSGES;88160;EPINAL;0881119N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOIS GEORGIN;public;72.4;22.7;NA;81.8;81.8;NA;80;80;NA;72.4;72.4;65.0
2022-2023;10;ILE-DE-FRANCE;25;VERSAILLES;91;ESSONNE;91461;OLLAINVILLE;0910429X;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LE CHATEAU DU LAC;public;79;22.1;NA;81.8;81.8;NA;103.7;103.7;NA;89.7;89.7;67.0
2022-2023;10;ILE-DE-FRANCE;25;VERSAILLES;92;HAUTS-DE-SEINE;92033;GARCHES;0922287L;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JACQUES BREL;public;NA;NA;NA;81.8;81.8;NA;103.7;103.7;NA;113.1;113.1;72.0
2022-2023;13;MAYOTTE;43;MAYOTTE;976;MAYOTTE;97611;MAMOUDZOU;9760357J;LYCEE D ENSEIGNEMENT ADAPTE L ESPERANCE;privé sous contrat;NA;NA;NA;81.8;81.8;NA;NA;NA;NA;NA;NA;78.0
2023-2024;16;OCCITANIE;16;TOULOUSE;12;AVEYRON;12300;VILLEFRANCHE DE ROUERGUE;0121178R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE VILLEFRANCHE DE ROUERGUE;public;83.8;25.1;66.4;81.8;81.8;NA;82.4;82.4;NA;83.8;83.8;83.0
2023-2024;14;NORMANDIE;70;NORMANDIE;14;CALVADOS;14327;HEROUVILLE SAINT CLAIR;0141420T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE YVONNE GUEGAN;public;72.5;18.3;66.4;81.8;81.8;NA;73.7;73.7;NA;72.5;72.5;85.0
2023-2024;15;NOUVELLE-AQUITAINE;13;POITIERS;16;CHARENTE;16271;PUYMOYEN;0160968R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;public;74.8;19.5;66.4;81.8;81.8;NA;76.5;76.5;NA;74.8;74.8;87.0
2023-2024;15;NOUVELLE-AQUITAINE;22;LIMOGES;19;CORREZE;19136;MEYMAC;0190089U;LYCEE D ENSEIGNEMENT ADAPTE ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DES MILLES SOURCES;public;89.3;25.4;66.4;81.8;81.8;NA;89.3;89.3;NA;89.3;89.3;89.0
2023-2024;02;BOURGOGNE-FRANCHE-COMTE;03;BESANCON;25;DOUBS;25056;BESANCON;0251371E;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE SIMONE VEIL;public;80.4;27;66.4;81.8;81.8;NA;80.8;80.8;NA;80.4;80.4;92.0
2023-2024;01;AUVERGNE-RHONE-ALPES;08;GRENOBLE;26;DROME;26198;MONTELIMAR;0261034H;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE;public;82.4;21.4;66.4;81.8;81.8;NA;81.2;81.2;NA;82.4;82.4;93.0
2023-2024;16;OCCITANIE;16;TOULOUSE;31;HAUTE-GARONNE;31395;MURET;0311240E;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DE MURET;public;83.6;24;66.4;81.8;81.8;NA;82.4;82.4;NA;83.6;83.6;96.0
2023-2024;15;NOUVELLE-AQUITAINE;04;BORDEAUX;33;GIRONDE;33318;PESSAC;0332198K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE LE CORBUSIER;public;84;24.4;66.4;81.8;81.8;NA;81.8;81.8;NA;86.4;86.4;98.0
2023-2024;01;AUVERGNE-RHONE-ALPES;08;GRENOBLE;38;ISERE;38111;CLAIX;0382107J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PIERRE RABHI;public;84.3;23.1;66.4;81.8;81.8;NA;81.2;81.2;NA;84.3;84.3;103.0
2023-2024;15;NOUVELLE-AQUITAINE;04;BORDEAUX;47;LOT-ET-GARONNE;47323;VILLENEUVE SUR LOT;0470753N;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE MARIE CLAUDE RICHE;public;80.1;22.1;66.4;81.8;81.8;NA;81.8;81.8;NA;80.1;80.1;110.0
2023-2024;14;NORMANDIE;70;NORMANDIE;50;MANCHE;50502;SAINT LO;0501232T;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ROBERT DOISNEAU;public;72.4;15.1;66.4;81.8;81.8;NA;73.7;73.7;NA;72.4;72.4;112.0
2023-2024;06;GRAND EST;19;REIMS;52;HAUTE-MARNE;52550;WASSY;0520709N;LYCEE D ENSEIGNEMENT ADAPTE;public;71.1;22.6;66.4;81.8;81.8;NA;73;73;NA;71.1;71.1;114.0
2023-2024;09;HAUTS-DE-FRANCE;09;LILLE;59;NORD;59360;LOOS;0594541R;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE DEFICIENTS VISUELS IGNACE PLEYEL;public;87.8;31.3;66.4;81.8;81.8;NA;77.9;77.9;NA;78.5;78.5;119.0
2023-2024;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62108;BERCK;0620229M;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ANTOINE DE SAINT EXUPERY;public;91.1;30.6;66.4;81.8;81.8;NA;77.9;77.9;NA;77.3;77.3;123.0
2023-2024;16;OCCITANIE;11;MONTPELLIER;66;PYRENEES-ORIENTALES;66136;PERPIGNAN;0660078B;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE JOAN MIRO;public;73.6;19.9;66.4;81.8;81.8;NA;78.3;78.3;NA;73.6;73.6;127.0
2023-2024;02;BOURGOGNE-FRANCHE-COMTE;07;DIJON;71;SAONE-ET-LOIRE;71105;CHARNAY LES MACON;0711050F;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE CLAUDE BROSSE;public;75.2;19.5;66.4;81.8;81.8;NA;76.8;76.8;NA;75.2;75.2;130.0
2023-2024;15;NOUVELLE-AQUITAINE;13;POITIERS;79;DEUX-SEVRES;79239;SAINT AUBIN LE CLOUD;0790979K;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE FRANCOISE DOLTO;public;74.6;17.6;66.4;81.8;81.8;NA;76.5;76.5;NA;74.6;74.6;140.0
2023-2024;18;PROVENCE-ALPES-COTE D'AZUR;02;AIX-MARSEILLE;84;VAUCLUSE;84141;VEDENE;0840096Y;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE PAUL VINCENSINI;public;76.7;24;66.4;81.8;81.8;NA;79.7;79.7;NA;76.7;76.7;141.0
